"Assay "	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Sample Characteristic[genotype]"	"Sample Characteristic Ontology Term[genotype]"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[phenotype]"	"Sample Characteristic Ontology Term[phenotype]"	"Factor Value[phenotype]"	"Factor Value Ontology Term[phenotype]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"
"SAMEA4650896"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167844"	
"SAMEA4650897"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167845"	
"SAMEA4650898"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167846"	
"SAMEA4650899"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167847"	
"SAMEA4650900"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167848"	
"SAMEA4650901"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167849"	
"SAMEA4650902"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167850"	
"SAMEA4650903"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167851"	
"SAMEA4650904"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167852"	
"SAMEA4650905"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167853"	
"SAMEA4650906"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167854"	
"SAMEA4650907"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167855"	
"SAMEA4650908"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167856"	
"SAMEA4650909"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167857"	
"SAMEA4650910"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167858"	
"SAMEA4650911"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167859"	
"SAMEA4650912"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167860"	
"SAMEA4650913"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167861"	
"SAMEA4650914"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167862"	
"SAMEA4650915"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167863"	
"SAMEA4650916"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167864"	
"SAMEA4650917"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167865"	
"SAMEA4650918"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167866"	
"SAMEA4650919"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167867"	
"SAMEA4650920"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167868"	
"SAMEA4650921"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167869"	
"SAMEA4650922"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167870"	
"SAMEA4650923"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167871"	
"SAMEA4650924"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167872"	
"SAMEA4650925"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167873"	
"SAMEA4650926"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167874"	
"SAMEA4650927"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167875"	
"SAMEA4650928"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167876"	
"SAMEA4650929"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167877"	
"SAMEA4650930"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167878"	
"SAMEA4650931"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167879"	
"SAMEA4650932"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167880"	
"SAMEA4650933"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167881"	
"SAMEA4650934"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167882"	
"SAMEA4650935"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167883"	
"SAMEA4650936"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167884"	
"SAMEA4650937"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167885"	
"SAMEA4650938"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167886"	
"SAMEA4650939"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167887"	
"SAMEA4650940"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167888"	
"SAMEA4650941"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167889"	
"SAMEA4650942"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167890"	
"SAMEA4650943"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167891"	
"SAMEA4650944"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167892"	
"SAMEA4650945"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167893"	
"SAMEA4650946"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167894"	
"SAMEA4650947"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167895"	
"SAMEA4650948"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167896"	
"SAMEA4650949"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167897"	
"SAMEA4650950"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167898"	
"SAMEA4650951"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167899"	
"SAMEA4650952"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6167900"	
