Source Name	Comment [ENA_SAMPLE]	Comment [BIOSAMPLE]	Comment [Sample_description]	Characteristics [organism]	Characteristics [individual]	Characteristics [organism part]	Characteristics [cell type]	Characteristics [phenotype]	Characteristics [disease]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment [single cell isolation]	Comment [input molecule]	Comment [library construction]	Comment [end bias]	Comment [primer]	Comment [LIBRARY_STRAND]	Comment [LIBRARY_LAYOUT]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Comment [LIBRARY_SELECTION]	Comment [INSTRUMENT_MODEL]	Assay Name	Comment [technical replicate group]	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Protocol REF	Protocol REF	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	FactorValue [single cell identifier]	FactorValue [disease]	FactorValue [stimulus]
GSM3038354 1	SRS3036158	SAMN08687661	35_d_C74_L7_R1_001_NRYBJBSWaoW3	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038354 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038354	not applicable	SRX3782902	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826722	SRR6826722	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6826722/SRR6826722.fastq.gz	Latency_model_TCR_cell_92	normal	T cell receptor-mediated stimulation
GSM3038353 1	SRS3036157	SAMN08687662	35_d_C64_L7_R1_001_vqaJzWg7tG9A	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038353 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038353	not applicable	SRX3782901	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826721	SRR6826721	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6826721/SRR6826721.fastq.gz	Latency_model_TCR_cell_91	normal	T cell receptor-mediated stimulation
GSM3038352 1	SRS3036156	SAMN08687663	35_d_C58_L7_R1_001_Y0mwYyuXk5mf	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038352 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038352	not applicable	SRX3782900	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826720	SRR6826720	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6826720/SRR6826720.fastq.gz	Latency_model_TCR_cell_90	normal	T cell receptor-mediated stimulation
GSM3038351 1	SRS3036155	SAMN08687664	35_d_C56_L7_R1_001_bDxhNvU2FMk8	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038351 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038351	not applicable	SRX3782899	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826719	SRR6826719	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6826719/SRR6826719.fastq.gz	Latency_model_TCR_cell_89	normal	T cell receptor-mediated stimulation
GSM3038350 1	SRS3036153	SAMN08687658	35_d_C53_L7_R1_001_VAXognb586Lx	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038350 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038350	not applicable	SRX3782898	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826718	SRR6826718	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6826718/SRR6826718.fastq.gz	Latency_model_TCR_cell_88	normal	T cell receptor-mediated stimulation
GSM3038349 1	SRS3036154	SAMN08687665	35_d_C47_L7_R1_001_Gd920OyRGRJ8	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038349 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038349	not applicable	SRX3782897	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826717	SRR6826717	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6826717/SRR6826717.fastq.gz	Latency_model_TCR_cell_87	normal	T cell receptor-mediated stimulation
GSM3038348 1	SRS3036152	SAMN08687666	35_d_C45_L7_R1_001_7y4j5u5g9tAg	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038348 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038348	not applicable	SRX3782896	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826716	SRR6826716	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6826716/SRR6826716.fastq.gz	Latency_model_TCR_cell_86	normal	T cell receptor-mediated stimulation
GSM3038347 1	SRS3036151	SAMN08687667	35_d_C43_L7_R1_001_lF8w6F9bS1WJ	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038347 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038347	not applicable	SRX3782895	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826715	SRR6826715	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6826715/SRR6826715.fastq.gz	Latency_model_TCR_cell_85	normal	T cell receptor-mediated stimulation
GSM3038346 1	SRS3036174	SAMN08687668	35_d_C35_L7_R1_001_VrFoubo92uUw	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038346 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038346	not applicable	SRX3782894	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826714	SRR6826714	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6826714/SRR6826714.fastq.gz	Latency_model_TCR_cell_84	normal	T cell receptor-mediated stimulation
GSM3038345 1	SRS3036149	SAMN08687669	35_d_C30_L7_R1_001_V7yZSFdrQaSv	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038345 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038345	not applicable	SRX3782893	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826713	SRR6826713	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6826713/SRR6826713.fastq.gz	Latency_model_TCR_cell_83	normal	T cell receptor-mediated stimulation
GSM3038344 1	SRS3036150	SAMN08687670	35_d_C23_L7_R1_001_EZDq7XeFt4VO	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038344 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038344	not applicable	SRX3782892	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826712	SRR6826712	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6826712/SRR6826712.fastq.gz	Latency_model_TCR_cell_82	normal	T cell receptor-mediated stimulation
GSM3038343 1	SRS3036148	SAMN08687671	35_d_C18_L7_R1_001_T3AVu1R2H8I8	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038343 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038343	not applicable	SRX3782891	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826711	SRR6826711	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6826711/SRR6826711.fastq.gz	Latency_model_TCR_cell_81	normal	T cell receptor-mediated stimulation
GSM3038342 1	SRS3036145	SAMN08687672	35_d_C11_L7_R1_001_kPMBYqgMaXq3	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038342 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038342	not applicable	SRX3782890	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826710	SRR6826710	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6826710/SRR6826710.fastq.gz	Latency_model_TCR_cell_80	normal	T cell receptor-mediated stimulation
GSM3038341 1	SRS3036147	SAMN08687673	35_d_C04_L7_R1_001_KxsuIhrw36Hh	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038341 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038341	not applicable	SRX3782889	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826709	SRR6826709	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6826709/SRR6826709.fastq.gz	Latency_model_TCR_cell_79	normal	T cell receptor-mediated stimulation
GSM3038340 1	SRS3036146	SAMN08687674	35_d_C02_L7_R1_001_vr8BOAYZKSv0	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038340 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038340	not applicable	SRX3782888	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826708	SRR6826708	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6826708/SRR6826708.fastq.gz	Latency_model_TCR_cell_78	normal	T cell receptor-mediated stimulation
GSM3038339 1	SRS3036144	SAMN08687675	35_4_C83_L7_R1_001_6wzcRBluhpqV	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038339 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038339	not applicable	SRX3782887	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826707	SRR6826707	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6826707/SRR6826707.fastq.gz	Latency_model_TCR_cell_77	normal	T cell receptor-mediated stimulation
GSM3038338 1	SRS3036143	SAMN08687676	35_4_C57_L7_R1_001_wWCoJ31mYiZQ	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038338 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038338	not applicable	SRX3782886	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826706	SRR6826706	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6826706/SRR6826706.fastq.gz	Latency_model_TCR_cell_76	normal	T cell receptor-mediated stimulation
GSM3038337 1	SRS3036142	SAMN08687677	35_3_C81_L7_R1_001_0ruadUyAKYg4	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038337 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038337	not applicable	SRX3782885	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826705	SRR6826705	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6826705/SRR6826705.fastq.gz	Latency_model_TCR_cell_75	normal	T cell receptor-mediated stimulation
GSM3038336 1	SRS3036141	SAMN08687678	35_3_C22_L7_R1_001_3ofBh5Q0kG6C	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038336 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038336	not applicable	SRX3782884	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826704	SRR6826704	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6826704/SRR6826704.fastq.gz	Latency_model_TCR_cell_74	normal	T cell receptor-mediated stimulation
GSM3038335 1	SRS3036140	SAMN08687679	35_2_C89_L7_R1_001_o5pb8eHCnXRG	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038335 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038335	not applicable	SRX3782883	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826703	SRR6826703	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6826703/SRR6826703.fastq.gz	Latency_model_TCR_cell_73	normal	T cell receptor-mediated stimulation
GSM3038334 1	SRS3036139	SAMN08687680	35_2_C82_L7_R1_001_3cTHkBxqOvLW	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038334 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038334	not applicable	SRX3782882	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826702	SRR6826702	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6826702/SRR6826702.fastq.gz	Latency_model_TCR_cell_72	normal	T cell receptor-mediated stimulation
GSM3038333 1	SRS3036138	SAMN08687681	35_2_C76_L7_R1_001_GVNlv0xN0CZM	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038333 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038333	not applicable	SRX3782881	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826701	SRR6826701	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6826701/SRR6826701.fastq.gz	Latency_model_TCR_cell_71	normal	T cell receptor-mediated stimulation
GSM3038332 1	SRS3036137	SAMN08687838	35_2_C49_L7_R1_001_9kuM5t8x1pbT	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038332 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038332	not applicable	SRX3782880	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826700	SRR6826700	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6826700/SRR6826700.fastq.gz	Latency_model_TCR_cell_70	normal	T cell receptor-mediated stimulation
GSM3038331 1	SRS3036136	SAMN08687839	35_2_C36_L7_R1_001_cdJnsiqp08II	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038331 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038331	not applicable	SRX3782879	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826699	SRR6826699	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6826699/SRR6826699.fastq.gz	Latency_model_TCR_cell_69	normal	T cell receptor-mediated stimulation
GSM3038330 1	SRS3036135	SAMN08687840	35_2_C24_L7_R1_001_B9CvOa4NrUnT	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038330 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038330	not applicable	SRX3782878	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826698	SRR6826698	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6826698/SRR6826698.fastq.gz	Latency_model_TCR_cell_68	normal	T cell receptor-mediated stimulation
GSM3038329 1	SRS3036134	SAMN08687841	35_2_C20_L7_R1_001_ZgclRgcSuMUu	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038329 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038329	not applicable	SRX3782877	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826697	SRR6826697	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6826697/SRR6826697.fastq.gz	Latency_model_TCR_cell_67	normal	T cell receptor-mediated stimulation
GSM3038328 1	SRS3036167	SAMN08687842	35_2_C16_L7_R1_001_7Cm1TCNQMhGt	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038328 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038328	not applicable	SRX3782876	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826696	SRR6826696	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6826696/SRR6826696.fastq.gz	Latency_model_TCR_cell_66	normal	T cell receptor-mediated stimulation
GSM3038327 1	SRS3036133	SAMN08687843	35_2_C15_L7_R1_001_l6JhhgpEGKCH	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038327 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038327	not applicable	SRX3782875	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826695	SRR6826695	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6826695/SRR6826695.fastq.gz	Latency_model_TCR_cell_65	normal	T cell receptor-mediated stimulation
GSM3038326 1	SRS3036132	SAMN08687768	35_2_C14_L7_R1_001_VKj3lNdRsM1q	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038326 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038326	not applicable	SRX3782874	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826694	SRR6826694	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6826694/SRR6826694.fastq.gz	Latency_model_TCR_cell_64	normal	T cell receptor-mediated stimulation
GSM3038325 1	SRS3036131	SAMN08687769	35_2_C13_L7_R1_001_Lq4Z4qneAnWr	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038325 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038325	not applicable	SRX3782873	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826693	SRR6826693	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6826693/SRR6826693.fastq.gz	Latency_model_TCR_cell_63	normal	T cell receptor-mediated stimulation
GSM3038324 1	SRS3036130	SAMN08687770	35_2_C07_L7_R1_001_R5WCLHUeruo0	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038324 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038324	not applicable	SRX3782872	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826692	SRR6826692	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6826692/SRR6826692.fastq.gz	Latency_model_TCR_cell_62	normal	T cell receptor-mediated stimulation
GSM3038323 1	SRS3036129	SAMN08687771	35_1d_C92_L7_R1_001_R9UJZOMzi7p6	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038323 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038323	not applicable	SRX3782871	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826691	SRR6826691	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6826691/SRR6826691.fastq.gz	Latency_model_TCR_cell_61	normal	T cell receptor-mediated stimulation
GSM3038322 1	SRS3036128	SAMN08687772	35_1d_C90_L7_R1_001_SdUUBB0Vev9d	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038322 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038322	not applicable	SRX3782870	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826690	SRR6826690	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6826690/SRR6826690.fastq.gz	Latency_model_TCR_cell_60	normal	T cell receptor-mediated stimulation
GSM3038321 1	SRS3036127	SAMN08687773	35_1d_C88_L7_R1_001_AVj8y8PuGRsA	Homo sapiens	not applicable	blood	CD4-positive helper T cell	resting, latent phenotype	normal	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038321 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038321	not applicable	SRX3782869	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826689	SRR6826689	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6826689/SRR6826689.fastq.gz	Latency_model_TCR_cell_59	normal	T cell receptor-mediated stimulation
